Invoice Date,Customer Code,Material Code,Total
5/31/2016,100922,143176,7
5/31/2016,100922,143196,8
5/31/2016,100922,143197,3
5/31/2016,100922,143322,8
5/31/2016,100922,143323,7
5/31/2016,100922,195051,6
5/31/2016,100922,220705,6
5/31/2016,100922,220706,14
5/31/2016,100922,220714,10
5/31/2016,100922,220720,10
5/31/2016,100922,220947,5
5/31/2016,100922,220968,4
5/31/2016,100922,221880,9
5/31/2016,100922,222758,12
5/31/2016,100922,222759,6
5/31/2016,100922,223608,16
5/31/2016,100922,231213,14
5/31/2016,100922,231281,5
5/31/2016,100922,242156,5
5/31/2016,100922,242413,6
5/31/2016,100922,242414,4
5/31/2016,100922,306693,3
5/31/2016,103374,180189,24
5/31/2016,103374,180201,23
5/31/2016,103374,436231,56
5/31/2016,114602,143144,43
5/31/2016,114602,143221,55
5/31/2016,114602,143223,55
5/31/2016,114602,220725,22
5/31/2016,114602,221072,15
5/31/2016,115048,180187,14
5/31/2016,115048,180189,9
5/31/2016,115048,180199,33
5/31/2016,115048,180201,6
5/31/2016,115048,220725,19
5/31/2016,115048,220727,27
5/31/2016,115048,228913,14
5/31/2016,115048,436290,8
5/31/2016,122331,143177,5
5/31/2016,122331,180187,6
5/31/2016,122331,220719,9
5/31/2016,122331,220726,15
5/31/2016,122331,220727,12
5/31/2016,122331,221069,15
5/31/2016,122331,222755,6
5/31/2016,122331,222756,6
5/31/2016,122331,436111,18
5/31/2016,122331,436231,24
5/31/2016,122331,436261,3
5/31/2016,122331,436290,2
5/31/2016,122331,442561,6
5/31/2016,122331,442562,9
5/31/2016,122875,182187,3
5/31/2016,122875,187546,3
5/31/2016,122875,187549,3
5/31/2016,122875,187550,3
5/31/2016,122875,195051,6
5/31/2016,122875,220707,5
5/31/2016,122875,220708,3
5/31/2016,122875,220724,3
5/31/2016,122875,221070,3
5/31/2016,122875,221072,3
5/31/2016,122875,222758,4
5/31/2016,122875,306582,3
5/31/2016,122875,306693,4
5/31/2016,122875,436110,7
5/31/2016,160245,180201,3
5/31/2016,160245,187549,61
5/31/2016,160245,187550,38
5/31/2016,160245,436231,41
5/31/2016,160245,436290,9
5/31/2016,160245,442560,13
5/31/2016,160245,442561,3
5/31/2016,160245,442562,9
5/31/2016,162906,220719,19
5/31/2016,162906,220720,21
5/31/2016,162906,222757,15
5/31/2016,162906,222759,7
5/31/2016,162906,231275,10
5/31/2016,162906,231276,25
5/31/2016,813502,180189,3
5/31/2016,813502,180201,3
5/31/2016,813502,184006,6
5/31/2016,813502,187548,3
5/31/2016,813502,231275,8
5/31/2016,813502,231276,13
5/31/2016,813502,306693,10
5/31/2016,813502,436259,3
5/31/2016,813502,436290,15
5/31/2016,817901,220706,6
5/31/2016,817901,220718,11
5/31/2016,817901,220725,21
5/31/2016,817901,220726,9
5/31/2016,817901,220727,6
5/31/2016,856737,143143,3
